id,correct_resp,resp,correct,rt
13,2,2,1,2.672
13,2,2,1,0.782
14,1,2,0,10.907
14,2,2,1,2.844
14,1,1,1,2.5
14,2,2,1,3.281
14,1,1,1,1.578
14,1,1,1,1.109
14,2,2,1,1.75
14,1,1,1,1.282
14,2,1,0,3.422
14,2,2,1,2.562
14,2,2,1,1.203
14,2,2,1,1.906
14,1,1,1,1.531
14,2,2,1,1.86
14,1,1,1,1.953
14,2,2,1,1
14,2,1,0,4.875
14,2,2,1,2.312
14,1,1,1,1.844
14,1,1,1,2.11
14,1,1,1,1.656
14,1,1,1,1.359
14,2,2,1,1.734
14,1,1,1,1.203
14,2,2,1,1.688
14,1,1,1,1.484
14,2,2,1,1.531
14,2,2,1,0.984
14,2,2,1,1.797
14,1,1,1,1.328
14,2,2,1,2.266
14,1,1,1,2.156
14,2,2,1,1.266
14,1,1,1,6.531
14,1,1,1,0.812
14,2,2,1,1.968
14,2,1,0,2.188
14,2,2,1,0.891
14,1,2,0,4.141
14,2,2,1,3.375
14,2,2,1,2.438
14,1,1,1,1.11
14,1,1,1,3.235
14,2,2,1,1.469
14,2,2,1,2.047
14,1,1,1,1.141
14,1,1,1,0.735
14,2,2,1,2.25
14,2,2,1,1.953
14,2,2,1,1.265
14,1,1,1,3.969
14,1,1,1,1.172
14,1,1,1,1.734
14,2,2,1,1.047
14,2,1,0,2.688
14,1,1,1,1.406
14,2,2,1,2.406
14,1,1,1,1.078
14,1,1,1,1.454
14,2,2,1,1.891
14,2,2,1,0.938
14,1,1,1,1.094
14,1,1,1,1.297
14,1,1,1,1.266
14,2,2,1,3.031
14,2,2,1,1.641
14,1,1,1,1.344
14,2,2,1,0.875
14,2,1,0,1.969
14,1,1,1,1.687
14,2,2,1,2.454
14,1,1,1,1.563
14,1,1,1,2.828
14,1,1,1,0.891
14,2,2,1,2.86
14,1,1,1,1.735
14,1,1,1,2.219
14,2,2,1,1.359
14,1,1,1,1.437
14,1,1,1,1.594
15,1,1,1,2.89
15,2,2,1,1.125
15,2,2,1,1.016
15,2,2,1,1.094
15,1,1,1,1.546
15,2,2,1,3.109
15,2,2,1,1.641
15,1,1,1,1.406
15,2,2,1,0.828
15,2,2,1,0.953
15,2,2,1,0.969
15,2,2,1,0.797
15,1,1,1,2.187
15,1,1,1,0.719
15,1,1,1,0.984
15,1,1,1,2.735
15,1,1,1,1.031
15,1,1,1,1.578
15,2,2,1,2.343
15,1,1,1,3.282
15,1,1,1,1.515
15,1,1,1,2.062
15,1,2,0,2.219
15,2,2,1,4.656
15,2,2,1,0.766
