id,new_item,new_resp,correct,rt,trial
2,1,1,1,1.699163,106
2,1,1,1,1.726547,107
2,1,1,1,1.408909,108
2,1,1,1,1.40212,109
2,1,1,1,1.094779,110
2,0,0,1,1.593707,111
2,1,1,1,1.495404,112
3,0,0,1,1.098128,1
3,1,1,1,1.711528,2
3,1,1,1,2.016729,3
3,0,0,1,1.682867,4
3,0,0,1,1.488095,5
3,0,0,1,1.266554,6
3,1,1,1,1.587465,7
3,1,1,1,2.026004,8
3,1,1,1,2.002148,9
3,0,1,0,1.700275,10
3,1,1,1,1.628048,11
3,1,1,1,1.276166,12
3,0,0,1,1.57691,13
3,0,0,1,1.189291,14
3,0,0,1,1.526848,15
3,1,1,1,2.04016,16
3,1,1,1,1.283731,17
3,0,0,1,1.633239,18
3,1,1,1,NA,19
3,0,0,1,1.365061,20
3,1,1,1,1.397447,21
3,1,1,1,1.503834,22
3,0,0,1,1.902029,23
3,0,0,1,1.092014,24
3,0,0,1,0.984938,25
3,0,0,1,1.085766,26
3,1,1,1,2.150665,27
3,0,0,1,1.675605,28
3,1,1,1,1.398341,29
3,0,0,1,1.561259,30
3,1,1,1,1.72175,31
3,1,0,0,2.66452,32
3,0,1,0,1.63413,33
3,1,1,1,1.693022,34
3,1,1,1,NA,35
3,0,0,1,1.823951,36
3,0,0,1,1.098882,37
3,0,0,1,1.64057,38
3,1,0,0,2.025566,39
3,1,1,1,1.680227,40
3,1,1,1,NA,41
3,0,1,0,1.20399,42
3,1,1,1,1.09447,43
3,1,1,1,1.069,44
3,1,1,1,1.087859,45
3,0,1,0,1.545247,46
3,0,0,1,2.262393,47
3,1,1,1,1.685387,48
3,1,1,1,1.299364,49
3,0,0,1,2.582073,50
3,1,1,1,1.582006,51
3,1,1,1,1.098723,52
3,1,1,1,1.091417,53
3,1,1,1,0.978163,54
3,1,1,1,0.873828,55
3,0,1,0,0.98757,56
3,0,0,1,1.929566,57
3,0,0,1,1.17558,58
3,0,0,1,1.099204,59
3,1,1,1,1.500979,60
3,1,1,1,2.342251,61
3,1,1,1,1.406618,62
3,0,1,0,1.198026,63
3,1,1,1,1.202341,64
3,1,1,1,1.086499,65
3,0,0,1,1.817446,66
3,0,1,0,1.849219,67
3,0,1,0,1.612209,68
3,1,1,1,1.316852,69
3,0,1,0,1.089117,70
3,1,1,1,1.41357,71
3,1,1,1,1.202902,72
3,1,1,1,1.197924,73
3,0,1,0,1.302886,74
3,1,1,1,1.201968,75
3,1,1,1,1.207943,76
3,1,1,1,1.208383,77
3,1,1,1,1.42173,78
3,1,1,1,1.195847,79
3,0,1,0,1.087516,80
3,0,0,1,1.830911,81
3,0,0,1,1.422015,82
3,0,0,1,1.312335,83
3,0,0,1,1.402088,84
3,0,0,1,1.308954,85
3,0,0,1,1.65038,86
3,1,1,1,2.033451,87
3,0,0,1,2.019181,88
3,0,0,1,1.211632,89
3,1,0,0,1.313936,90
3,0,1,0,1.524848,91
3,1,1,1,1.214798,92
3,1,1,1,1.304723,93
3,1,1,1,1.209256,94
3,0,1,0,1.299789,95
3,1,1,1,1.092715,96
3,0,0,1,1.81979,97
3,0,0,1,1.689371,98
3,1,1,1,1.928281,99
3,1,1,1,1.083922,100
3,0,1,0,1.293699,101
3,0,0,1,1.911789,102
3,0,1,0,1.27653,103
3,0,1,0,1.209937,104
3,1,1,1,1.211155,105
3,0,0,1,1.914997,106
3,1,1,1,1.361366,107
3,0,0,1,2.129913,108
3,0,1,0,1.482766,109
3,0,1,0,1.170671,110
3,1,1,1,1.102487,111
3,0,1,0,1.198552,112
4,0,0,1,1.913575,1
4,1,1,1,1.398172,2
4,0,0,1,1.175074,3
4,0,0,1,1.255646,4
4,0,0,1,1.491591,5
4,0,0,1,0.877845,6
4,1,1,1,1.484193,7
