subjectnum;order;blockedormixed;condition;testtrial;faceorword;wordonleft;wordonright;faceonleft;faceonright;responsekey;accuracy;RT;studytrial;testbin;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;73,00;0,00;;;74,00;38,00;1,00;1,00;1,85;82,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;74,00;0,00;;;91,00;79,00;2,00;1,00;1,53;38,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;75,00;0,00;;;194,00;177,00;2,00;1,00;2,62;52,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;76,00;0,00;;;48,00;202,00;1,00;1,00;3,60;78,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;77,00;0,00;;;158,00;167,00;1,00;1,00;1,63;32,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;78,00;0,00;;;34,00;57,00;2,00;0,00;2,07;13,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;79,00;0,00;;;82,00;11,00;2,00;1,00;1,63;59,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;80,00;0,00;;;189,00;148,00;1,00;1,00;2,62;37,00;8,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;81,00;0,00;;;105,00;191,00;1,00;0,00;3,49;19,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;82,00;0,00;;;156,00;88,00;2,00;1,00;2,07;17,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;83,00;0,00;;;149,00;178,00;2,00;1,00;2,29;100,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;84,00;0,00;;;119,00;20,00;2,00;0,00;1,96;22,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;85,00;0,00;;;9,00;129,00;1,00;0,00;3,60;21,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;86,00;0,00;;;102,00;6,00;2,00;1,00;2,95;95,00;9,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;87,00;0,00;;;210,00;69,00;2,00;0,00;2,50;10,00;9,00;;;;;;;;;;;;;;;;;;;;;;
