"","sub","condition","type","old","response","correct","time"
"1498",12758,"hoho","homo",2,2,1,2719
"1499",12758,"hoho","homo",2,2,1,3922
"1500",12758,"hoho","homo",2,2,1,1031
"1501",12758,"hoho","homo",1,1,1,1171
"1502",12758,"hoho","homo",1,2,0,2047
"1503",12758,"hoho","homo",2,1,0,5031
"1504",12758,"hoho","homo",1,1,1,4516
"1505",12758,"hoho","homo",2,2,1,2188
"1506",12758,"hoho","homo",1,2,0,1515
"1507",12758,"hoho","homo",2,1,0,2625
"1508",12758,"hoho","homo",1,2,0,3656
"1509",12758,"hoho","homo",2,2,1,1031
"1510",12758,"hoho","homo",2,2,1,2860
"1511",12758,"hoho","homo",2,2,1,2984
"1512",12758,"hoho","homo",2,2,1,4140
"1513",12758,"hoho","homo",1,1,1,1594
"1514",12758,"hoho","homo",2,1,0,1797
"1515",12758,"hoho","homo",2,1,0,2844
"1516",12758,"hoho","homo",1,1,1,4015
"1517",12758,"hoho","homo",1,1,1,7265
"1518",12758,"hoho","homo",2,2,1,3329
"1519",12758,"hoho","homo",1,1,1,3671
"1520",12758,"hoho","homo",1,2,0,3235
"2561",13817,"hehe","hetero",1,2,0,10907
"2562",13817,"hehe","hetero",2,2,1,2844
"2563",13817,"hehe","hetero",1,1,1,2500
"2564",13817,"hehe","hetero",2,2,1,3281
"2565",13817,"hehe","hetero",1,1,1,1578
"2566",13817,"hehe","hetero",1,1,1,1109
"2567",13817,"hehe","hetero",2,2,1,1750
"2568",13817,"hehe","hetero",1,1,1,1282
"2569",13817,"hehe","hetero",2,1,0,3422
"2570",13817,"hehe","hetero",2,2,1,2562
"2571",13817,"hehe","hetero",2,2,1,1203
"2572",13817,"hehe","hetero",2,2,1,1906
"2573",13817,"hehe","hetero",1,1,1,1531
"2574",13817,"hehe","hetero",2,2,1,1860
"2575",13817,"hehe","hetero",1,1,1,1953
"2576",13817,"hehe","hetero",2,2,1,1000
"2577",13817,"hehe","hetero",2,1,0,4875
"2578",13817,"hehe","hetero",2,2,1,2312
"2579",13817,"hehe","hetero",1,1,1,1844
"2580",13817,"hehe","hetero",1,1,1,2110
"2581",13817,"hehe","hetero",1,1,1,1656
"2582",13817,"hehe","hetero",1,1,1,1359
"2583",13817,"hehe","hetero",2,2,1,1734
"2584",13817,"hehe","hetero",1,1,1,1203
"2585",13817,"hehe","hetero",2,2,1,1688
"2586",13817,"hehe","hetero",1,1,1,1484
"2587",13817,"hehe","hetero",2,2,1,1531
"2588",13817,"hehe","hetero",2,2,1,984
"2589",13817,"hehe","hetero",2,2,1,1797
"2590",13817,"hehe","hetero",1,1,1,1328
"2591",13817,"hehe","hetero",2,2,1,2266
"2592",13817,"hehe","hetero",1,1,1,2156
"2593",13817,"hehe","hetero",2,2,1,1266
"2594",13817,"hehe","hetero",1,1,1,6531
"2595",13817,"hehe","hetero",1,1,1,812
"2596",13817,"hehe","hetero",2,2,1,1968
"2597",13817,"hehe","hetero",2,1,0,2188
"2598",13817,"hehe","hetero",2,2,1,891
"2599",13817,"hehe","hetero",1,2,0,4141
"2600",13817,"hehe","hetero",2,2,1,3375
"2601",13817,"hehe","hetero",2,2,1,2438
"2602",13817,"hehe","hetero",1,1,1,1110
"2603",13817,"hehe","hetero",1,1,1,3235
"2604",13817,"hehe","hetero",2,2,1,1469
"2605",13817,"hehe","hetero",2,2,1,2047
"2606",13817,"hehe","hetero",1,1,1,1141
"2607",13817,"hehe","hetero",1,1,1,735
"2608",13817,"hehe","hetero",2,2,1,2250
"2609",13817,"hehe","hetero",2,2,1,1953
"2610",13817,"hehe","hetero",2,2,1,1265
"2611",13817,"hehe","hetero",1,1,1,3969
"2612",13817,"hehe","hetero",1,1,1,1172
"2613",13817,"hehe","hetero",1,1,1,1734
"2614",13817,"hehe","hetero",2,2,1,1047
"2615",13817,"hehe","hetero",2,1,0,2688
"2616",13817,"hehe","hetero",1,1,1,1406
"2617",13817,"hehe","hetero",2,2,1,2406
"2618",13817,"hehe","hetero",1,1,1,1078
"2619",13817,"hehe","hetero",1,1,1,1454
"2620",13817,"hehe","hetero",2,2,1,1891
"2621",13817,"hehe","hetero",2,2,1,938
"2622",13817,"hehe","hetero",1,1,1,1094
"2623",13817,"hehe","hetero",1,1,1,1297
"2624",13817,"hehe","hetero",1,1,1,1266
"2625",13817,"hehe","hetero",2,2,1,3031
"2626",13817,"hehe","hetero",2,2,1,1641
"2627",13817,"hehe","hetero",1,1,1,1344
"2628",13817,"hehe","hetero",2,2,1,875
"2629",13817,"hehe","hetero",2,1,0,1969
"2630",13817,"hehe","hetero",1,1,1,1687
"2631",13817,"hehe","hetero",2,2,1,2454
"2632",13817,"hehe","hetero",1,1,1,1563
"2633",13817,"hehe","hetero",1,1,1,2828
"2634",13817,"hehe","hetero",1,1,1,891
"2635",13817,"hehe","hetero",2,2,1,2860
"2636",13817,"hehe","hetero",1,1,1,1735
"2637",13817,"hehe","hetero",1,1,1,2219
"2638",13817,"hehe","hetero",2,2,1,1359
"2639",13817,"hehe","hetero",1,1,1,1437
"2640",13817,"hehe","hetero",1,1,1,1594
"3361",14805,"hehe","hetero",1,1,1,2890
"3362",14805,"hehe","hetero",2,2,1,1125
"3363",14805,"hehe","hetero",2,2,1,1016
"3364",14805,"hehe","hetero",2,2,1,1094
"3365",14805,"hehe","hetero",1,1,1,1546
"3366",14805,"hehe","hetero",2,2,1,3109
"3367",14805,"hehe","hetero",2,2,1,1641
"3368",14805,"hehe","hetero",1,1,1,1406
"3369",14805,"hehe","hetero",2,2,1,828
"3370",14805,"hehe","hetero",2,2,1,953
"3371",14805,"hehe","hetero",2,2,1,969
"3372",14805,"hehe","hetero",2,2,1,797
"3373",14805,"hehe","hetero",1,1,1,2187
"3374",14805,"hehe","hetero",1,1,1,719
"3375",14805,"hehe","hetero",1,1,1,984
"3376",14805,"hehe","hetero",1,1,1,2735
"3377",14805,"hehe","hetero",1,1,1,1031
"3378",14805,"hehe","hetero",1,1,1,1578
"3379",14805,"hehe","hetero",2,2,1,2343
"3380",14805,"hehe","hetero",1,1,1,3282
"3381",14805,"hehe","hetero",1,1,1,1515
"3382",14805,"hehe","hetero",1,1,1,2062
"3383",14805,"hehe","hetero",1,2,0,2219
"3384",14805,"hehe","hetero",2,2,1,4656
"3385",14805,"hehe","hetero",2,2,1,766
"3386",14805,"hehe","hetero",1,2,0,1765
"3387",14805,"hehe","hetero",2,2,1,1953
"3388",14805,"hehe","hetero",2,1,0,2344
"3389",14805,"hehe","hetero",1,1,1,1188
"3390",14805,"hehe","hetero",1,1,1,2875
"3391",14805,"hehe","hetero",2,2,1,937
"3392",14805,"hehe","hetero",2,2,1,1282
